Широта;Долгота;Описание;Подпись;"Номер метки"
55.7194371;37.4641823;"СУНЦ МГУ школа-интернат имени А.Н. Колмогорова";"СУНЦ МГУ школа-интернат имени А.Н. Колмогорова";1
55.6947206;37.5247254;"Университетская гимназия (школа-интернат) МГУ имени М.В. Ломоносова";"Университетская гимназия (школа-интернат) МГУ имени М.В. Ломоносова";2
55.6980699;37.5563902;"Лицей Вторая школа";"Лицей Вторая школа";3
55.6580508;37.4927123;"Московская школа на Юго-Западе № 1543";"Московская школа на Юго-Западе № 1543";4
55.763699;37.6439529;"Лицей НИУ ВШЭ";"Лицей НИУ ВШЭ";5
55.7257478;37.5648873;"Школа № 1535";"Школа № 1535";6
55.7893364;37.6213459;"Школа ЦПМ";"Школа ЦПМ";7
55.5447656;37.5328013;"Школа № 2007 ФМШ";"Школа № 2007 ФМШ";8
55.7596888;37.6147038;"Школа № 179";"Школа № 179";9
55.7387456;37.5939062;"Предуниверситарий МГЛУ им. М.Тореза (Лингвистический лицей № 1555)";"Предуниверситарий МГЛУ им. М.Тореза (Лингвистический лицей № 1555)";10
55.7771527;37.5964125;"Предуниверситарий РГГУ";"Предуниверситарий РГГУ";11
55.7181498;37.4644123;"Школа Интеллектуал";"Школа Интеллектуал";12
55.7288727;37.6296582;"Экономический лицей РЭУ им. Г.В.Плеханова";"Экономический лицей РЭУ им. Г.В.Плеханова";13
55.641656;37.612973;"Бауманская инженерная школа № 1580";"Бауманская инженерная школа № 1580";14
55.8071846;37.6443824;"Школа-интернат № 1 для обучения и реабилитации слепых";"Школа-интернат № 1 для обучения и реабилитации слепых";15
55.812003;37.575298;"Школа № 218";"Школа № 218";16
55.6922591;37.5436969;"Школа № 1533 ЛИТ";"Школа № 1533 ЛИТ";17
55.803646;37.635107;"Школа № 1518";"Школа № 1518";18
55.800792;37.526654;"Лицей Финансового университета";"Лицей Финансового университета";19
55.778693;37.5460969;"Пансион воспитанниц Министерства обороны Российской Федерации";"Пансион воспитанниц Министерства обороны Российской Федерации";20
55.760282;37.830204;"Школа № 1502 при МЭИ";"Школа № 1502 при МЭИ";21
55.7528161;37.6627083;"Инженерная школа № 1581";"Инженерная школа № 1581";22
55.7485864;37.6049954;"Пятьдесят седьмая школа";"Пятьдесят седьмая школа";23
55.8423158;37.3496627;"Школа № 1944";"Школа № 1944";24
55.6689646;37.4649256;"Школа № 1329";"Школа № 1329";25
55.5672;37.581394;"Школа № 1356";"Школа № 1356";26
55.7414147;37.5232673;"Школа № 67";"Школа № 67";27
55.7412944;37.603435;"Школа № 1529 имени А.С. Грибоедова";"Школа № 1529 имени А.С. Грибоедова";28
55.8744856;37.6429499;"Школа № 1568 имени Пабло Неруды";"Школа № 1568 имени Пабло Неруды";29
55.6531321;37.4835801;"Школа на проспекте Вернадского";"Школа на проспекте Вернадского";30
55.6498363;37.6643357;"Предуниверситарий НИЯУ МИФИ, университетские лицеи № 1511 и № 1523";"Предуниверситарий НИЯУ МИФИ, университетские лицеи № 1511 и № 1523";31
55.8098322;37.5351482;"Специальная (коррекционная) общеобразовательная школа-интернат № 2";"Специальная (коррекционная) общеобразовательная школа-интернат № 2";32
55.6979703;37.5090746;"Школа № 1306 - Школа молодых политиков";"Школа № 1306 - Школа молодых политиков";33
55.7343804;37.5920552;"Школа № 1253";"Школа № 1253";34
55.6850644;37.5743207;"Академическая школа № 1534";"Академическая школа № 1534";35
55.793947;37.3988363;"Школа № 58";"Школа № 58";36
